rating,review,sentimen
2,jadi pelanggan loyal bukan nya makin asik karena tarif hemat vocer banyak tapi malah makin mahal hampir tahun pakai gojek tapi ga ada benefit nya capek bgt,negatif
1,tidak ada tempat membatalkan pesanan,negatif
5,pelayananya puas banget mantap,positif
3,hallo gojek tolong kk kalau bisa layanan gojek sampai ke kijang lagoi tanjung uban biar kami merasa nyaman memakai aplikasi kanstemer gojek saya kasi bintang tapi klau sdh bisa layanan gojek ke kijang lagoi tanjung uban saya akan kasi bintang terima kasih,negatif
1,saya ganti hp mau login di hp baru masa susah banget udah email beberapa kali di tolak terus permintaannya,negatif
5,alhamdulillah ada bgtu banyak cerita bersama ojolsemoga semakin sukses dan menjadi kebanggaan buat para driver dan juga customer,positif
1,nunggu gocarnya lama driver udah mauu sampek tiba dibatalin berkali seperti itu padahal udahh order dari menit sebelum acara tapi jadi terlambat krn driver yg seenaknya membatalkan penjemputan,negatif
1,pelayanannya kemenyek kalau ada promo selalu di batalin sama drive nya beda banget sama grab  gojek itu sombong orangnya,negatif
1,akun saya kemarin keluar sendiri ketika mau masuk lagi tidak bisa ada apakah dan kenapa tolong direspon ketika saya mau login kembali muncul dgn oh aplikasi harus diperbarui ke versi terbaru,negatif
1,bukannya makin baguss malah tambah jelek ni aplikasi maps g tepat sering eror tiba gopay g bisa dipakecape bgt dapetnya jauh bgt buat pick up,negatif
3,tambahkan fitur blokir ojol agar tidak bisa ambil pesanan saya banyak ojol tidak menyenangkan merasa lebih superior dari pelanggan tidak bisa memposisikan diri bikin malas,negatif
1,kalau top up saldo gopay masuk nya lama org mau pesan jadi lama nungguin saldo masuk doang,negatif
5,perjalan lbh mdhmnyenangkan,positif
1,semua aplikasi punya go ini sudah pasti menyiksa pihak konsumen atau kalau gk pihak partnernya masih lebih transparan punya sebelah auto uninstall,negatif
5,gojek memang lebih baik promo diskonnya besar banget,positif
5,gojek sangat nyaman drivernya ramah asyik deh,positif
5,mantul drivernyaramah perjalanan nyaman,positif
5,memuas kan,positif
1,makin gk bener bunyi gkkena notif aplikasi gk jelas makin aneh,negatif
5,transpot cepat dan nyaman,positif
5,sejauh sya pake aplikasi ini oke bgt sih banyak diskon juga,positif
1,aplikasi gak jelas top up bukanya masuk malah pending,negatif
1,layanan gofood ekonomis  jam setengah  ada layanan kayak gini malah tambah parah dulu semua sama diantar skitar  menit sampe,negatif
1,aplikasi yang tidak bisa membantu costumer nya malah merugikan untuk customer sangat sangat tidak rekomendasi,negatif
5,harga dan pelayanan cukup baik mengantar malam haripun dengan baik sopan dan perhatian drivernya,positif
1,klo ngegojek di shelter stasiun susah bgt malah ditolak,negatif
5,mntp dah,positif
1,sangat memuaskan dengan jawabannya,negatif
5,enak jadi gak susah buat kemana mana,positif
1,sekarang susah cari go car di tunggu sampai  menit tidak munculx di wa chat gak dibales sekarang tahun  susah carigo car mereka dengan sengaja diam tanpa membalas wa chat padahal tinngal  menit tapi gak ada pergerkan mobil jalan sopir sepertiitu laporkan aja di kasih bintang rendah biar ada hukumnya,negatif
5,pelayanan top,positif
1,knpa update susah bnget sih,negatif
1,driver membatalkan seenak jidat,negatif
5,cepat dan hemat dan amanah,positif
1,aplikasi aneh tiba tiba akun saya di bilang kena pelanggaran order sesuai sudah berlangganan tiba tiba ke blok dari promo ngapain saya ikut berlangganan sudah di blok tanpa pemberitahuan respon sama sekali ga menerima keluhan pelanggan,negatif
5,gojek no,positif
5,semoga jadi yang terbaik,positif
1,memproses pesanan terlalu lama estimasi pesanan menit,negatif
5,sangat bermanfaat buat saya dan keluarga,positif
2,ini gojek lama bertingkah muluu mana tiap ngasih driver selalu dengan posisi yang paling jauh susah komunikasi pula dan kejadian ini berulang kali,negatif
1,call center tidak memberikan solusi,negatif
3,sekali pakai langsung malas order lagi galakan drivernya emangnya pelanggan murid sd diajarin,negatif
1,kecewa banget sumpah gak mau lagi pakek nih apk nunggu driver nya lama padahal udah pake prioritas masih aja nunggu lama,negatif
1,ga ada gunanya kasih opsi bantuan kalau g bisa membantu mengatasi masalah,negatif
5,sangat membantu di saat keadaan mendesak,positif
1,ga usah spam iklan blok,negatif
5,cepet nyaman ramah yg terpenting driver ready jd kita gausah nunggu driver siap siap dulu,positif
5,good pokonya,positif
1,bintang berjatuhanuninstal,negatif
5,pelayanannya ok,positif
5,intinya mantap lah,positif
3,sekarang klo top up gopay lambat banget masuknya,negatif
